"SamAccountName","Enabled"
"framorim","True"
"jacruz","True"
"esantiago","True"
"dsouza","True"
"adssantos","True"
"Dmfilho","True"
"RPSilva","True"
"eroliveira","True"
"fpereira","True"
"tgonzaga","True"
"ANery","True"
"tbrayner","True"
"asoares","True"
"aghedin","True"
"holiveira","True"
"dnovaes","True"
"insantos","True"
"frota.jequie","True"
"ajamorim","True"
"spsantos","True"
"hcosta","True"
"llima","True"
"cribeiro","True"
"crcarvalho","True"
"tgsouza","False"
"anmrodrigues","True"
"albrito","True"
"jealves","True"
"ccoliveira","True"
"joaofsilva","True"
"tlessa","True"
"dfsilva","True"
"con-jbezerra","True"
"woliveira","True"
"maasantos","True"
"aftavares","True"
"con-elarrat","True"
"mnorat","True"
"jpena","True"
"rsilva","True"
"ncvilena","True"
"jhaber","True"
"jose.f.pereira","True"
"bcosta","True"
"cmoura","True"
"pamaro","True"
"rspinheiro","True"
"rrego","True"
"ebatista","True"
"fsoares","True"
"frota.belem","True"
"aneves","True"
"vreboucas","True"
"aruse","True"
"edsondasilva","True"
"gsantos","True"
"mhsilva","True"
"wagoncalves","True"
"rcgomes","True"
"panete","True"
"chandrade","True"
"emelo","True"
"fjjesus","True"
"edoliveira","True"
"kcalmeida","True"
"rsantos","True"
"frota.natal","True"
"rgcosta","True"
"mbrito","True"
"daazevedo","True"
"lalencar","True"
"emuniz","True"
"avelozo","True"
"faalmeida","True"
"rnrodrigues","True"
"csaraujo","True"
"ircsilva","True"
"vitor.carvalho","True"
"dteixeira","True"
"mvoliveira","True"
"glsilva","True"
"ddteixeira","True"
"maisenergiarecife","True"
"wpandrade","True"
"alaporte","True"
"rcpsilva","True"
"bmmelo","True"
"esousa","True"
"albarros","True"
"con-igsilva","True"
"rmartins","True"
"wserafim","True"
"ralbuquerque","True"
"jbelfort","True"
"jisilva","True"
"alaraujo","True"
"frota.recife","True"
"ytsilva","True"
"gssantana","True"
"egoncalves","True"
"esanchez","True"
"frbsantos","True"
"jjnsilva","True"
"dduarte","True"
"qssilva","True"
"adsilva","True"
"flosouza","True"
"dloliveira","True"
"fcoelho","True"
"MLopes","True"
"jfhsilva","True"
"MArgolo","True"
"con-barbara.oliveira","True"
"frandrade","True"
"rpires","True"
"tsantos","True"
"gqbezerra","True"
"vfaria","True"
"lusoliveira","True"
"avosilva","True"
"cjustino","True"
"mialmeida","True"
"izaque.santos","True"
"ampeixoto","True"
"rbatista","True"
"Awoliveira","True"
"EDPereira","True"
"josilva","True"
"jose.a.pereira","False"
"gjpsilva","True"
"gfigueiredo","True"
"amsena","True"
"ahlima","True"
"agsantana","False"
"wsantos","True"
"bcordeiro","False"
"alsousa","False"
"TesteSupCan13","False"
"mssilva","True"
"andsilva","True"
"CPitangueira","True"
"rantunes","True"
"esconceicao","True"
"epsantos","True"
"clsilva","True"
"psantos","True"
"fssantiago","True"
"demiranda","True"
"dsantos","True"
"lmenezes","True"
"musantos","True"
"faraujo","True"
"falbuquerque","True"
"mjesus","True"
"lmoraes","True"
"mbalmeida","True"
"azsilva","True"
"BMendonca","True"
"mrlima","True"
"wbarbosa","True"
"wiseitusn043","False"
"jovsilva","True"
"ansousa","True"
"ansilva","True"
"jroliveira","True"
"MBomfim","True"
"IMoura","True"
"adarze","True"
"ioliveira","True"
"mtavares","True"
"cmedeiros","True"
"fnascimento","True"
"wiseitusn227","False"
"pasantos","True"
"wiseitusn188","False"
"wiseitusn193","False"
"wiseitusn262","False"
"wiseitusn088","False"
"wiseitusn409","False"
"wiseitusn214","False"
"wiseitusn363","False"
"jldias","True"
"wiseitusn419","False"
"wiseitusn471","False"
"wiseitusn159","False"
"wiseitusn205","False"
"wiseitusn220","False"
"wiseitusn181","False"
"wiseitusn425","False"
"wiseitusn292","False"
"wiseitusn086","False"
"wiseitusn029","False"
"wiseitusn018","False"
"wiseitusn432","False"
"wiseitusn483","False"
"wiseitusn338","False"
"wiseitusn168","False"
"wiseitusn344","False"
"wiseitusn457","False"
"wiseitusn282","False"
"wiseitusn261","False"
"wiseitusn264","False"
"USN_rf_Conf_outros","False"
"USN_0800Net_HE_fp","False"
"wiseitusn179","False"
"wiseitusn114","False"
"wiseitusn314","False"
"wiseitusn386","False"
"wiseitusn379","False"
"wiseitusn172","False"
"wiseitusn339","False"
"wiseitusn137","False"
"USN_0800Net_vasilham","False"
"wiseitusn224","False"
"wiseitusn275","False"
"USN_0800Net_Conf_Out","False"
"USN_0800Net_Conf_Pos","False"
"wiseitusn252","False"
"wiseitusn352","False"
"wiseitusn053","False"
"wiseitusn364","False"
"wiseitusn178","False"
"wiseitusn231","False"
"wiseitusn343","False"
"wiseitusn129","False"
"USN_0800Net_aq_af","False"
"wiseitusn200","False"
"wiseitusn460","False"
"wiseitusn146","False"
"wiseitusn311","False"
"USN_rf_Conf_vasilham","False"
"wiseitusn116","False"
"wiseitusn394","False"
"wiseitusn090","False"
"wiseitusn413","False"
"TesteSupGas03","False"
"wiseitusn424","False"
"wiseitusn253","False"
"USN_0800Net_Div_fp","False"
"USN_0800Net_IGV","False"
"wiseitusn211","False"
"wiseitusn153","False"
"wiseitusn427","False"
"wiseitusn411","False"
"wiseitusn232","False"
"wiseitusn384","False"
"TesteSupCan21","False"
"wiseitusn154","False"
"wiseitusn233","False"
"teste_prime_ger_reg","False"
"wiseitusn250","False"
"mcsaraujo","True"
"wiseitusn038","False"
"TesteSupCan04","False"
